-17,-15	-15,3
-11,-15	-3,19
-13,-16	-11,16
-5,-20	-2,17
-10,-18	4,2
-15,-1	11,9
-10,17	-17,-5
5,-4	1,-9
16,16	9,1
-15,-2	-1,-7
-16,-16	1,12
10,15	-20,-12
3,3	-2,10
12,-20	-11,17
2,14	17,-10
-3,-4	-4,-11
-19,6	-12,5
4,-13	12,20
2,6	0,-4
0,11	-18,-1
5,-2	-16,-16
10,-12	-9,-13
6,15	-4,13
4,-19	20,8
-18,-12	-8,-20
-12,8	11,-19
-5,15	-5,20
13,20	-16,-1
17,-11	-7,14
9,-7	-2,10
-16,-11	11,-17
-5,-4	-3,18
-19,-17	16,1
13,-4	4,8
12,20	-20,2
19,2	-6,-4
-20,-17	2,5
-19,18	12,-5
8,-13	9,-19
15,8	1,-10
8,0	19,-2
18,0	-3,-11
14,15	5,-1
-17,-3	0,12
15,6	15,-2
-10,-15	-12,-1
16,5	3,15
11,-16	19,-4
9,-2	-13,14
17,-3	-1,-14
18,14	18,-14
18,6	20,20
-18,-19	17,6
20,-7	0,-8
9,15	-2,9
1,3	5,1
-20,15	13,20
10,-5	10,-8
15,8	19,18
19,-7	-13,5
14,-11	5,17
4,-10	17,5
0,-20	4,6
20,-1	-17,-1
-14,-5	15,-4
-2,-20	-18,1
-19,3	-2,4
7,-6	-11,17
-18,13	11,16
8,-9	-8,7
10,14	15,-17
-14,-16	7,-1
7,0	-3,14
-8,20	14,7
-15,-13	-8,-20
8,-15	6,19
-9,19	17,-16
2,6	14,10
19,16	4,-3
-20,-8	-20,10
15,-17	-12,17
13,5	10,20
7,3	-10,-8
-2,5	6,-17
6,6	-8,5
12,3	15,-12
11,14	13,-8
1,18	-15,3
17,-18	-13,-12
17,-10	9,-3
8,-14	-13,17
0,-20	11,16
-1,-4	13,-7
-8,-2	8,-9
-8,4	-4,14
17,19	-17,1
-19,3	-1,6
-1,9	2,-3
-7,20	17,4
-10,-2	8,20
3,-13	9,5
-12,3	14,11
-19,-8	-2,16
-18,20	-20,-16
18,-12	-15,-20
-19,-8	-9,12
-20,2	15,2
-15,-15	10,-6
6,-3	-5,19
6,-17	-10,2
-5,-1	7,5
7,-8	-9,5
11,-3	-9,5
4,-6	-7,-14
14,6	11,-13
-18,-14	-5,11
-9,-5	-11,3
20,-17	2,-20
14,-2	-5,-8
-2,-9	-19,-4
10,18	13,16
10,-9	20,7
-10,-15	-18,-7
4,8	-15,1
-12,-16	18,20
-1,5	-3,-11
14,13	-13,14
4,-9	2,-11
13,1	5,17
-15,-10	-13,-3
8,17	-5,-5
5,-3	-9,-7
4,13	0,-16
-1,11	20,-4
-20,7	-2,-2
-3,-19	-4,-3
16,10	-17,19
5,-8	-15,18
6,0	-13,-4
13,3	13,-13
0,-2	-5,-12
-15,17	14,-15
7,-11	-10,-11
6,10	16,3
14,-16	7,1
-16,19	-16,9
-10,6	-5,15
1,7	20,13
11,-5	2,11
18,-20	-3,13
-7,-17	0,17
-1,14	-5,3
-17,8	-2,-15
3,7	18,-9
-11,-14	13,-7
-5,12	17,-6
8,-1	14,14
2,-8	16,-17
-9,0	15,3
1,20	6,2
18,11	-9,17
-8,-1	7,2
-8,17	-3,18
-7,13	8,15
9,-6	11,20
19,1	18,-2
1,14	17,3
-20,8	7,0
-19,-4	-7,5
-20,13	-7,-18
11,-9	3,9
4,17	10,15
-19,-7	-5,1
-13,-7	-10,-6
-5,-1	-14,14
-12,18	19,-18
-11,-20	9,17
-17,20	17,-5
2,3	19,16
-17,-4	19,-8
20,16	15,10
-5,-9	1,5
15,-6	-11,-10
20,-1	-6,9
-4,-3	-6,6
3,-7	7,-16
-16,-13	-10,2
5,6	8,-10
-20,9	-11,11
7,-15	6,15
-9,-2	-6,-14
-15,13	-5,16
11,-3	-5,9
16,3	0,6
7,-7	-9,-14
9,-20	1,-2
5,-15	11,9
-11,-11	-1,-8
8,-8	6,0
-8,-5	-8,13
-4,17	7,10
13,11	-6,-12
-17,-6	20,-4
-18,16	4,10
3,0	-6,1
9,18	16,15
12,0	1,-9
8,5	-7,-15
8,-1	0,-9
10,-14	13,19
-20,-13	3,0
6,1	-4,-10
14,-14	-9,1
18,-5	-1,-2
14,4	19,16
0,9	-6,20
-14,13	12,2
0,16	-13,-15
-7,1	15,-3
-15,20	9,-4
-2,-15	17,20
-13,-9	-19,19
-13,8	-5,9
20,-14	2,10
18,12	-3,-16
-3,-11	0,6
4,-8	10,-2
16,6	-14,6
5,-16	-19,11
-2,-7	-18,-19
-1,-10	14,12
1,-12	10,2
-7,15	-4,-20
16,15	12,2
1,7	5,7
-1,7	-19,-5
-16,-2	18,-20
-2,10	4,11
10,-13	2,2
16,12	-6,2
-13,-12	5,19
2,20	10,-18
15,-2	-15,-10
-2,12	-9,20
-12,-17	-10,-15
-7,-20	-4,14
2,-18	-1,-16
-14,-4	6,1
-7,7	-13,-10
-13,-18	11,-11
10,16	-2,5
11,-14	-6,4
2,-18	2,-2
9,-20	-19,11
-14,-9	11,8
15,7	-20,-5
-17,-15	20,11
20,-19	-3,19
10,-3	-5,7
-14,-5	-5,14
19,18	-13,-8
-16,-18	13,17
19,-2	-13,14
-3,18	15,16
-19,-20	-4,18
-16,12	-6,4
-4,-7	-12,11
7,-18	6,19
-15,-5	-3,-13
-2,-2	-11,-9
-10,-18	-13,-11
9,18	11,-12
17,-20	-8,17
18,17	-7,6
14,-7	-11,-6
0,0	3,-1
-15,4	-14,-12
-4,-14	0,5
11,8	-1,-16
2,2	-15,11
-13,3	18,14
11,5	19,20
5,-15	17,19
4,-7	-16,-4
-20,-8	11,12
17,-6	-12,0
3,15	15,3
17,-20	1,-10
-12,-15	1,-8
-20,6	19,-16
12,-3	16,6
6,-2	19,2
15,1	-1,10
6,6	9,-16
-13,1	-16,12
-17,14	-18,8
-10,-12	3,-8
-15,-15	-19,-14
-7,-11	11,-18
12,-12	12,12
15,14	6,8
12,-13	4,14
-7,8	16,18
11,-16	3,14
-17,-5	8,6
-15,-19	14,-6
8,17	-16,3
15,8	-3,-1
-1,-16	-12,-18
-9,-16	7,-8
-19,-4	8,20
-4,-19	20,14
-10,-9	-13,7
-13,-19	-20,8
-2,-14	1,-13
-3,9	3,13
-9,-4	-11,-2
-20,-6	-1,7
-19,10	-14,-16
-5,-17	7,6
8,-3	-5,-16
-13,-2	14,10
-2,4	8,11
-8,-15	-15,-9
5,3	-20,-7
13,6	17,19
8,10	-19,-7
-15,14	19,-11
0,17	2,9
-9,4	11,10
3,3	17,20
0,-10	10,-20
-2,12	-20,-4
-7,-17	20,-19
20,-1	5,-14
16,-6	-6,-2
-17,-15	4,-12
-11,15	-14,-1
15,-3	-18,16
-6,9	-19,11
13,9	-10,14
-12,-19	4,-9
-1,1	-12,10
3,20	-4,14
-4,-14	19,-10
0,12	2,20
4,-15	20,3
-3,-20	-5,-15
-6,-20	20,-8
-14,-3	5,-3
-15,-8	-14,-11
-11,-5	-6,-1
-20,18	17,12
12,19	6,1
14,12	-12,-1
-4,11	4,6
9,16	5,-13
9,2	7,-16
10,15	-17,-9
17,-6	12,19
12,-4	15,-17
-11,13	-4,-17
-16,8	-1,7
9,-4	15,-15
-1,-12	7,4
10,-5	14,-10
19,16	-19,-5
6,7	-3,-1
-20,-2	12,18
11,-5	-11,-12
-8,17	-1,-4
14,1	2,12
1,-16	9,1
5,17	-3,9
-16,-15	19,-11
-5,-16	10,-12
-9,2	-7,1
19,-17	1,-13
-7,-12	10,18
12,5	12,-17
4,9	14,-1
2,-6	-1,7
-20,-18	5,-13
12,-17	-13,-19
-10,20	2,6
-12,-9	18,-8
-10,-20	-11,12
13,3	8,13
3,-12	14,13
2,-2	-12,3
-19,16	-14,-12
-16,-5	16,-4
19,0	5,8
-17,-15	19,9
2,10	-16,16
10,11	-3,19
7,15	-9,-10
-12,20	-9,20
-4,-15	20,-3
0,1	-7,8
-4,-4	9,-7
5,-3	-18,16
-10,-14	10,16
-15,5	0,11
-15,18	-7,-1
15,11	12,-15
-18,-4	-8,19
17,-13	-18,-19
-18,10	4,20
9,16	-15,-1
6,1	-18,4
20,-4	8,15
